# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0        BSN    N_tr    B2      B4
# 
9 9 7 1.51647842e+02 1.51647842e+02 1.90599930e+02 3.01624102e+04 0.00000000e+00 5.38320000e+04 -5.45176055e+04 2.06062734e+04
9 9 8 1.51647842e+02 1.51647842e+02 1.61821243e+02 7.06237578e+04 0.00000000e+00 5.96640000e+04 -1.54352562e+05 1.48562141e+05
9 9 9 1.51647842e+02 1.51647842e+02 1.51647842e+02 7.58578984e+04 0.00000000e+00 8.12160000e+04 -1.69878203e+05 1.76827375e+05
10 5 4 1.43547516e+02 2.49657516e+02 2.98621796e+02 8.97352750e+05 0.00000000e+00 4.56000000e+02 -1.93140400e+06 1.86179912e+06
10 5 5 1.43547516e+02 2.49657516e+02 2.49657516e+02 2.48580859e+05 0.00000000e+00 1.30940000e+04 -5.11965906e+05 4.12874562e+05
10 6 3 1.43547516e+02 2.07778030e+02 4.02876801e+02 -5.16025750e+05 0.00000000e+00 2.64000000e+02 1.08099625e+06 -8.54622812e+05
10 6 4 1.43547516e+02 2.07778030e+02 2.98621796e+02 1.10205656e+05 0.00000000e+00 1.03620000e+04 -1.70786594e+05 -9.06858984e+03
10 6 5 1.43547516e+02 2.07778030e+02 2.49657516e+02 1.04607797e+05 0.00000000e+00 2.48880000e+04 -2.12700219e+05 1.60885625e+05
10 6 6 1.43547516e+02 2.07778030e+02 2.07778030e+02 1.01452703e+05 0.00000000e+00 2.65440000e+04 -2.02388656e+05 1.44929969e+05
10 7 2 1.43547516e+02 1.90599930e+02 2.85095215e+02 2.19136641e+05 0.00000000e+00 4.08000000e+02 -5.20480500e+05 6.12883062e+05
10 7 3 1.43547516e+02 1.90599930e+02 4.02876801e+02 2.32172938e+05 0.00000000e+00 7.73000000e+03 -4.67117094e+05 3.41642750e+05
10 7 4 1.43547516e+02 1.90599930e+02 2.98621796e+02 1.56951969e+05 0.00000000e+00 2.14080000e+04 -3.31499906e+05 2.87641875e+05
10 7 5 1.43547516e+02 1.90599930e+02 2.49657516e+02 5.89651680e+04 0.00000000e+00 2.89680000e+04 -9.67163906e+04 -1.03636755e+03
10 7 6 1.43547516e+02 1.90599930e+02 2.07778030e+02 2.74698574e+04 0.00000000e+00 3.10800000e+04 -5.83789023e+04 5.15145352e+04
10 7 7 1.43547516e+02 1.90599930e+02 1.90599930e+02 9.90905547e+04 0.00000000e+00 3.54960000e+04 -2.09258125e+05 1.85685141e+05
10 8 1 1.43547516e+02 1.61821243e+02 1.49714310e+02 -6.45203375e+05 0.00000000e+00 2.04000000e+02 1.43299338e+06 -1.40528612e+06
10 8 2 1.43547516e+02 1.61821243e+02 2.85095215e+02 1.39521922e+05 0.00000000e+00 8.14200000e+03 -2.93140969e+05 2.52823312e+05
10 8 3 1.43547516e+02 1.61821243e+02 4.02876801e+02 2.14607672e+05 0.00000000e+00 1.46400000e+04 -4.35207219e+05 3.27545062e+05
10 8 4 1.43547516e+02 1.61821243e+02 2.98621796e+02 1.00821078e+05 0.00000000e+00 2.45280000e+04 -1.62479828e+05 1.31974109e+03
10 8 5 1.43547516e+02 1.61821243e+02 2.49657516e+02 4.00662578e+04 0.00000000e+00 3.20640000e+04 -8.20693828e+04 6.48335000e+04
10 8 6 1.43547516e+02 1.61821243e+02 2.07778030e+02 1.58902490e+04 0.00000000e+00 3.46800000e+04 -3.41854766e+04 2.60696270e+04
10 8 7 1.43547516e+02 1.61821243e+02 1.90599930e+02 7.47166094e+04 0.00000000e+00 3.99600000e+04 -1.42053734e+05 8.38448594e+04
10 8 8 1.43547516e+02 1.61821243e+02 1.61821243e+02 2.28246465e+04 0.00000000e+00 4.42800000e+04 -2.33445996e+04 -4.26993008e+04
10 9 1 1.43547516e+02 1.51647842e+02 1.49714310e+02 1.53785859e+05 0.00000000e+00 5.98200000e+03 -3.53001344e+05 3.87881812e+05
10 9 2 1.43547516e+02 1.51647842e+02 2.85095215e+02 1.70684160e+04 0.00000000e+00 1.72400000e+04 -3.62145039e+04 3.59370273e+04
10 9 3 1.43547516e+02 1.51647842e+02 4.02876801e+02 9.65012188e+04 0.00000000e+00 1.95840000e+04 -2.10618594e+05 2.13671906e+05
10 9 4 1.43547516e+02 1.51647842e+02 2.98621796e+02 6.76117031e+04 0.00000000e+00 3.22320000e+04 -1.69127672e+05 2.21730078e+05
10 9 5 1.43547516e+02 1.51647842e+02 2.49657516e+02 5.96066680e+04 0.00000000e+00 4.30560000e+04 -1.17262766e+05 7.86562969e+04
10 9 6 1.43547516e+02 1.51647842e+02 2.07778030e+02 2.98683516e+04 0.00000000e+00 4.55280000e+04 -7.69446094e+04 1.07820430e+05
10 9 7 1.43547516e+02 1.51647842e+02 1.90599930e+02 3.57553516e+04 0.00000000e+00 5.35920000e+04 -7.12930781e+04 4.72916328e+04
10 9 8 1.43547516e+02 1.51647842e+02 1.61821243e+02 2.30335918e+04 0.00000000e+00 5.93760000e+04 -4.53114688e+04 3.16430391e+04
10 9 9 1.43547516e+02 1.51647842e+02 1.51647842e+02 4.06931250e+04 0.00000000e+00 7.80960000e+04 -7.86720625e+04 5.26126875e+04
10 10 1 1.43547516e+02 1.43547516e+02 1.49714310e+02 -1.01690195e+04 0.00000000e+00 8.78400000e+03 1.01689043e+04 1.69566660e+04
10 10 2 1.43547516e+02 1.43547516e+02 2.85095215e+02 9.68267422e+04 0.00000000e+00 1.74240000e+04 -1.95707281e+05 1.51435141e+05
10 10 3 1.43547516e+02 1.43547516e+02 4.02876801e+02 6.90569531e+04 0.00000000e+00 1.92480000e+04 -1.40764297e+05 1.19221969e+05
10 10 4 1.43547516e+02 1.43547516e+02 2.98621796e+02 8.43139531e+04 0.00000000e+00 3.15360000e+04 -1.61902016e+05 9.63224766e+04
10 10 5 1.43547516e+02 1.43547516e+02 2.49657516e+02 1.68204551e+04 0.00000000e+00 4.22400000e+04 -1.87637656e+04 -2.97068594e+04
10 10 6 1.43547516e+02 1.43547516e+02 2.07778030e+02 1.91772871e+04 0.00000000e+00 4.50720000e+04 -4.61398242e+04 5.78066133e+04
10 10 7 1.43547516e+02 1.43547516e+02 1.90599930e+02 -3.48594805e+04 0.00000000e+00 5.16720000e+04 7.12687812e+04 -6.05173438e+04
10 10 8 1.43547516e+02 1.43547516e+02 1.61821243e+02 6.78150000e+04 0.00000000e+00 5.82240000e+04 -1.29961891e+05 7.87200391e+04
10 10 9 1.43547516e+02 1.43547516e+02 1.51647842e+02 1.48067822e+04 0.00000000e+00 7.71360000e+04 -3.60510273e+04 4.36988672e+04
10 10 10 1.43547516e+02 1.43547516e+02 1.43547516e+02 1.70317207e+04 0.00000000e+00 7.55280000e+04 -4.19957656e+04 5.23452461e+04
11 5 5 1.22325600e+02 2.49657516e+02 2.49657516e+02 5.79768250e+05 0.00000000e+00 7.92000000e+02 -1.02552688e+06 2.96526062e+05
11 6 4 1.22325600e+02 2.07778030e+02 2.98621796e+02 1.92473250e+05 0.00000000e+00 5.52000000e+02 -3.75064250e+05 2.64260562e+05
